pokemon_id,archetype_key,name_en,name_es,description_en,description_es,fit_score,season_key,format,notes
10008,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
10009,hyper_offense,Hyper Offense,Hiperofensiva,High-pressure offensive structures.,Estructuras ofensivas de alta presin.,90,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
10010,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
10011,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
10012,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
10100,offense,Offense,Ofensiva,Proactive offensive structures.,Estructuras ofensivas proactivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
10104,offense,Offense,Ofensiva,Proactive offensive structures.,Estructuras ofensivas proactivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
1013,sand,Sand,Arena,Structures built around sand.,Estructuras basadas en arena.,90,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
1013,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,78,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
10165,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,78,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
10172,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,78,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
1018,rain,Rain,Lluvia,Structures built around rain.,Estructuras basadas en lluvia.,82,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
10180,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,55,season_m1_reg_ma,doubles,Derived from current roster heuristics.
1019,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,55,season_m1_reg_ma,doubles,Derived from current roster heuristics.
10230,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
10233,offense,Offense,Ofensiva,Proactive offensive structures.,Estructuras ofensivas proactivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
10236,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
10239,offense,Offense,Ofensiva,Proactive offensive structures.,Estructuras ofensivas proactivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
